20240101 184000;1.103810;1.103830;1.103770;1.103770;0
20240101 184100;1.103770;1.103770;1.103690;1.103700;0
20240101 184200;1.103710;1.103730;1.103710;1.103720;0
20240101 184300;1.103700;1.103730;1.103650;1.103690;0
20240101 184400;1.103670;1.103700;1.103670;1.103670;0
20240101 184500;1.103670;1.103730;1.103640;1.103680;0
20240101 184600;1.103680;1.103680;1.103660;1.103670;0
20240101 184700;1.103660;1.103710;1.103660;1.103690;0
20240101 184800;1.103700;1.103720;1.103630;1.103630;0
20240101 184900;1.103620;1.103620;1.103560;1.103570;0
20240101 185000;1.103580;1.103670;1.103560;1.103630;0
20240101 185100;1.103640;1.103680;1.103610;1.103670;0
20240101 185200;1.103700;1.103720;1.103580;1.103670;0
20240101 185300;1.103680;1.103730;1.103670;1.103730;0
20240101 185400;1.103720;1.103720;1.103650;1.103660;0
20240101 185500;1.103670;1.103690;1.103660;1.103690;0
20240101 185600;1.103680;1.103720;1.103620;1.103640;0
20240101 185700;1.103650;1.103670;1.103600;1.103670;0
20240101 185900;1.103670;1.103670;1.103630;1.103650;0
20240101 190000;1.103660;1.103760;1.103660;1.103740;0
20240101 190100;1.103710;1.103750;1.103680;1.103750;0
20240101 190200;1.103740;1.103750;1.103710;1.103740;0
20240101 190300;1.103740;1.103780;1.103740;1.103770;0
20240101 190400;1.103760;1.103770;1.103730;1.103760;0
20240101 190500;1.103770;1.103790;1.103750;1.103770;0
20240101 190600;1.103770;1.103780;1.103710;1.103710;0
20240101 190700;1.103720;1.103760;1.103720;1.103730;0
20240101 190800;1.103730;1.103780;1.103730;1.103730;0
20240101 190900;1.103730;1.103800;1.103730;1.103780;0
20240101 191000;1.103780;1.103780;1.103690;1.103700;0
20240101 191100;1.103710;1.103710;1.103700;1.103710;0
20240101 191200;1.103700;1.103710;1.103690;1.103700;0
20240101 191300;1.103700;1.103720;1.103700;1.103700;0
20240101 191400;1.103700;1.103710;1.103700;1.103710;0
20240101 191500;1.103720;1.103730;1.103720;1.103730;0
20240101 191600;1.103720;1.103730;1.103670;1.103680;0
20240101 191700;1.103670;1.103730;1.103670;1.103680;0
20240101 191800;1.103680;1.103700;1.103670;1.103670;0
20240101 191900;1.103670;1.103690;1.103660;1.103680;0
20240101 192000;1.103680;1.103680;1.103640;1.103640;0
